text,label
LCK에서 조선족이 나가는게 제 꿈 입니다 ㅠㅠㅠㅠㅠㅠㅠㅠㅠ,1
팩트) 페이커 쵸비는 ㅈㄴ 친하다. 기인은 제우스가 반드시 자신을 뛰어넘을 거라고 했다. 갈드컵 여는 애들은 방구석 처박힌 찐따들이다.,1
이거 게이머들이 경기할때 쓰는 헤드셋은 그냥 헤드셋이아니라헬리콥터 조종기 기수들 소음잡아줄때 쓰는 헤드셋처럼주변잡음 다빨아먹는 헤드셋인데그것마저 뚫고 사이온궁소리 씹어먹어버림..걍 헬리콥터 1대 파동 < 슼룡들 위기탈출넘버원 울음소리슼룡은 헬리콥터 1대와 맞먹거나 그이상이다..,1
카리스 작년에 2군갔다와서 좀 친다하지 않음?,0
어~ 팔팔이형이야 ㅋㅋ,1
유관 대 무관은 역시,1
진짜 페이즈는 팀원 버스타면서 잘하는척 오지네 ㅋㅋ,1
Ig는 얼마나잘하는거냐 ㄷㄷㄷㄷ,0
허 버 허 버,1
역시 스로잉 엄로저,1
티원은 못올라오는데 뭔 경기력임 ㅋㅋㅋ,1
좀 월즈좀 먹어라!!,0
해설 왜 그래 지금 위에 골드차이 안보이노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 악을쓰고 못본척하노 ㅋㅋㅋㅋㅋ,1
탑차이 ㅈㄴ 심하네 ㅋㅋ,1
대참사,0
뭔 상황임 대체,0
1557치면 ppt 따서 T1 프론터에 제보하겠습니다 치지 말아주세요,1
안딜 안나옴?,0
3용주면 진다,0
루시안밀리오 할 떄부터 질 것 같았음. 가끔 보면 페이즈는 본인이 룰러급인 줄 착각하는 줄;; ,1
88848이 뭐에유?,1
담붕이 신났노 ㅋㅋ,0
니코 신음소리 들려,1
LPL Gen.G 加油!!!,1
성캐로 바꾸면 디도스 안걸릴듯 ㅋㅋ,0
카메라맨 드가좌~,0
ㅋㅋ걍 무시하죠 ㅋㅋㅋ전캐 욕하는애들 수준떨어지는 88848애들이닌까 ㅋ,1
77757 나오겠네..,1
정~말 달콤해,0
댓글로 똥싸는 애들 수준 ㅠㅠ 인생이 많이 힘든가보네 힘내라,0
단단묵직,0
삼성다니는 친구가 젠지 모르던데 조금이라도 끌어모을라고 삼성꺼 가져와버리기 ㅋㅋ,0
88848,1
88848,1
88848,1
제카는 거품이 맞다,1
어쩌다가 커즈가 저딴팀에들어간거냐,1
에욱,0
불공정한 연습기회 운운하며 승자를 존중하지 못하는 그선수에 그팬분들 ㅋㅋㅋ 제발 님들 쳐발린 거 화풀이를 다른 팀들 경기 와서 하지 말아주세요 ㅠㅠ 진짜 한화팬들은 매너있어서 님들이 한화팬 가면써도 천박한 말투에서 다 들통나요~~ 그리고 제발 한화선수들 상대로는 범인찾기좀 하지 말아주세요,1
대 황 비,0
함성도 못하는 그들만의 스포츠 거북목 쭈ㅡㅡㅡ욱ㅋㅋ,1
젠지팬때문에 몇명이 피해보노,1
8 8 8 4 8 ㅋㅋㅋㅋㅋㅋ,1
우좀틀,0
구미유시 cs 봐라 ㅉㅉ 이게 프로임 ?,1
lck 하위 3팀은 그냥 없애고 7팀끼리만 리그하면 안되냐 ㅋㅋ,1
도란은 좀빼자,1
cs 멋대로 먹은 서폿한테 왜 pog를 줘야함?,1
이제 하다하다 농심한테도 쳐 지네 ㅋㅋㅋ,1
전글 뭐함,0
여기서 서폿이 시야 잡아줘야되ㅑ는데 .. 원딜이 저모양이니 자꾸 지켜줘야됨..,1
조용좀해라 진짜 교육을못받았냐 너네는,1
유미는 별로임??,0
젠지는 월즈는 무조건8강임?ㅋㅋ,1
주도하는질서그것은거역할수없어,1
와 이신,0
88848을 모르는 사람이 있단말야?,1
ㅇㅇㅇ4ㅇ,1
이래도 1557이,1
엄카 뭐하냐ㅋㅋㅋㅋㅋㅋ,1
럭키태윤,0
똥겐 ㅋㅋ,1
1557,1
누가이기든 5꽉가즈아,0
에포트 신인 치고는 잘 하네 신인상 노려볼만 하다 시간 되돌리면 lck 쓰리핏도 가능하겠다,0
어어?,0
오리 템 뭐냐 ,0
ㅋㅋㅋ 그 팀 팬 컷 당하는거 재밋네 ㅋㅋ,1
88848,1
쵸비는 팀원들 죽는동안 CS만 먹음?,1
대상혁,0
근데 3.1절 실패한날 아님 ? 왜 기념임일??,0
동부팀이지만 강팀상대로도 꺼낸 서커스같은 픽 그래도 이정도로 원하는거 한다는게 잘하는거네 듀렉스 그팀은 강팀상대로 서커스하지도 못하던데...,0
ㅋㅋㅋㅋㅋㅋㅋ케이티 졌다고 인터젯 끊는대 미쳣다,1
슼까 해야되는데 잘해버리니까 이젠 관중까기 시전ㅋㅋㅋ,0
콜미 콜걸모드 ㄷㄷ,1
"벤픽 이따구로하면 광동은 이번에도 꼴찌일ㄷ,ㅅ",1
저건 좀 억울할만하다 ㅋㅋㅋㅋㅋㅋㅋㅋ,0
"젠지전은 딱 하나야, 오너가 공챔가고, 제우스가 탱커 가는거",0
티원 시청자수 개거품이였네 kt랑했는데 차이가없노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
물론 상대가 프로라서 그런 것도 있겠지만 광물솔랭이렐같아,0
